LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1729245010.504199,385416.000,56620,1,SF,1,100,0.6425
1729245010.838197,385750.000,56668,1,SF,1,100,0.6351
1729245011.238195,386150.000,56733,1,SF,1,100,0.6277
1729245011.571193,386483.000,56791,1,SF,1,100,0.6205
1729245011.904192,386816.000,56839,1,SF,1,100,0.6133
1729245012.171191,387083.000,56890,1,SF,1,100,0.6062
1729245012.504189,387416.000,56940,1,SF,1,100,0.5992
1729245012.904187,387816.000,57005,1,SF,1,100,0.5922
1729245013.171185,388083.000,57054,1,SF,1,100,0.5854
1729245013.504184,388416.000,57108,1,SF,1,100,0.5786
1729245013.837182,388749.000,57157,1,SF,1,100,0.5719
1729245014.237180,389149.000,57224,1,SF,1,100,0.5653
1729245014.504179,389416.000,57272,1,SF,1,100,0.5588
1729245014.837178,389749.000,57321,1,SF,1,100,0.5523
1729245015.237176,390149.000,57374,1,SF,1,100,0.5459
1729245015.571174,390483.000,57424,1,SF,1,100,0.5396
1729245015.837173,390749.000,57473,1,SF,1,100,0.5334
1729245016.170171,391082.000,57523,1,SF,1,100,0.5272
1729245016.570169,391482.000,57588,1,SF,1,100,0.5211
1729245016.837168,391749.000,57629,1,SF,1,100,0.5151
1729245017.237166,392149.000,57694,1,SF,1,100,0.5091
1729245017.504165,392416.000,57747,1,SF,1,100,0.5032
1729245017.837163,392749.000,57795,1,SF,1,100,0.4974
1729245018.237161,393149.000,57862,1,SF,1,100,0.4916
1729245018.504160,393416.000,57913,1,SF,1,100,0.4859
1729245018.837158,393749.000,57962,1,SF,1,100,0.4803
1729245019.237156,394149.000,58029,1,SF,1,100,0.4748
1729245019.570155,394482.000,58079,1,SF,1,100,0.4693
1729245019.837153,394749.000,58127,1,SF,1,100,0.4639
1729245020.170152,395082.000,58178,1,SF,1,100,0.4585
1729245020.570150,395482.000,58245,1,SF,1,100,0.4532
1729245020.837148,395749.000,58295,1,SF,1,100,0.4479
1729245021.170147,396082.000,58346,1,SF,1,100,0.4428
1729245021.503145,396415.000,58394,1,SF,1,100,0.4376
1729245021.837144,396749.000,58452,1,SF,1,100,0.4326
1729245022.170142,397082.000,58500,1,SF,1,100,0.4276
1729245022.570140,397482.000,58565,1,SF,1,100,0.4226
1729245022.837139,397749.000,58616,1,SF,1,100,0.4177
1729245023.170137,398082.000,58666,1,SF,1,100,0.4129
1729245023.570135,398482.000,58733,1,SF,1,100,0.4081
1729245023.903134,398815.000,58784,1,SF,1,100,0.4034
1729245024.170132,399082.000,58834,1,SF,1,100,0.3987
1729245024.503131,399415.000,58885,1,SF,1,100,0.3941
1729245024.903129,399815.000,58950,1,SF,1,100,0.3896
1729245025.170128,400082.000,59000,1,SF,1,100,0.3851
1729245025.503126,400415.000,59049,1,SF,1,100,0.3806
1729245025.903124,400815.000,59117,1,SF,1,100,0.3762
1729245026.236122,401148.000,59166,1,SF,1,100,0.3718
1729245026.503121,401415.000,59217,1,SF,1,100,0.3675
1729245026.836119,401748.000,59265,1,SF,1,100,0.3633
1729245027.169118,402081.000,59321,1,SF,1,100,0.3591
1729245027.503116,402415.000,59371,1,SF,1,100,0.3549
1729245027.903114,402815.000,59436,1,SF,1,100,0.3508
1729245028.169113,403081.000,59489,1,SF,1,100,0.3468
1729245028.503111,403415.000,59539,1,SF,1,100,0.3428
1729245028.903110,403815.000,59604,1,SF,1,100,0.3388
1729245029.236108,404148.000,59655,1,SF,1,100,0.3349
1729245029.502107,404414.000,59705,1,SF,1,100,0.3310
1729245029.836105,404748.000,59754,1,SF,1,100,0.3272
1729245030.236103,405148.000,59821,1,SF,1,100,0.3234
1729245030.502102,405414.000,59869,1,SF,1,100,0.3197
1729245030.836100,405748.000,59921,1,SF,1,100,0.3160
1729245031.169099,406081.000,59970,1,SF,1,100,0.3123
1729245031.569097,406481.000,60037,1,SF,1,100,0.3087
1729245031.836095,406748.000,60088,1,SF,1,100,0.3051
1729245032.236094,407148.000,60145,1,SF,1,100,0.3016
1729245032.502092,407414.000,60194,1,SF,1,100,0.2981
1729245032.835091,407747.000,60244,1,SF,1,100,0.2946
1729245033.235089,408147.000,60312,1,SF,1,100,0.2912
1729245033.502087,408414.000,60364,1,SF,1,100,0.2879
1729245033.835086,408747.000,60412,1,SF,1,100,0.2845
1729245034.169084,409081.000,60463,1,SF,1,100,0.2812
1729245034.569082,409481.000,60530,1,SF,1,100,0.2780
1729245034.835081,409747.000,60580,1,SF,1,100,0.2748
1729245035.169079,410081.000,60629,1,SF,1,100,0.2716
1729245035.569077,410481.000,60696,1,SF,1,100,0.2685
1729245035.902076,410814.000,60744,1,SF,1,100,0.2654
1729245036.168074,411080.000,60797,1,SF,1,100,0.2623
1729245036.502073,411414.000,60845,1,SF,1,100,0.2592
1729245036.902071,411814.000,60912,1,SF,1,100,0.2562
1729245037.235069,412147.000,60966,1,SF,1,100,0.2533
1729245037.568068,412480.000,61016,1,SF,1,100,0.2504
1729245037.835066,412747.000,61067,1,SF,1,100,0.2475
1729245038.168065,413080.000,61115,1,SF,1,100,0.2446
1729245038.568063,413480.000,61183,1,SF,1,100,0.2418
1729245038.902061,413814.000,61235,1,SF,1,100,0.2390
1729245039.168060,414080.000,61283,1,SF,1,100,0.2362
1729245039.502058,414414.000,61332,1,SF,1,100,0.2335
1729245039.901056,414813.000,61399,1,SF,1,100,0.2308
1729245040.168055,415080.000,61449,1,SF,1,100,0.2281
1729245040.502053,415414.000,61500,1,SF,1,100,0.2255
1729245040.901052,415813.000,61565,1,SF,1,100,0.2229
1729245041.235050,416147.000,61613,1,SF,1,100,0.2203
