LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1729244942.311528,317223.000,45539,2,EL,1,100,-18902.400391
1729244942.378528,317290.000,45556,1,EL,1,100,-18902.800781
1729244942.445028,317356.500,45573,2,EL,1,100,-18903.000000
1729244942.511527,317423.000,45573,2,EL,1,100,-18903.199219
1729244942.578527,317490.000,45590,1,EL,1,100,-18903.199219
1729244942.645026,317556.500,45605,2,EL,1,100,-18903.599609
1729244942.711526,317623.000,45605,2,EL,1,100,-18903.000000
1729244942.778526,317690.000,45621,1,EL,1,100,-18903.199219
1729244942.845026,317756.500,45638,2,EL,1,100,-18903.400391
1729244942.911525,317823.000,45638,2,EL,1,100,-18903.599609
1729244942.978025,317889.500,45657,2,EL,1,100,-18903.599609
1729244943.044525,317956.000,45657,2,EL,1,100,-18903.199219
1729244943.111524,318023.000,45673,1,EL,1,100,-18903.599609
1729244943.178024,318089.500,45691,2,EL,1,100,-18903.599609
1729244943.244524,318156.000,45691,2,EL,1,100,-18903.599609
1729244943.311523,318223.000,45707,1,EL,1,100,-18903.400391
1729244943.378023,318289.500,45724,2,EL,1,100,-18903.000000
1729244943.444523,318356.000,45724,2,EL,1,100,-18903.199219
1729244943.511522,318423.000,45741,1,EL,1,100,-18903.599609
1729244943.578022,318489.500,45756,2,EL,1,100,-18903.199219
1729244943.644522,318556.000,45756,2,EL,1,100,-18903.400391
1729244943.711521,318623.000,45772,1,EL,1,100,-18903.000000
1729244943.778021,318689.500,45790,2,EL,1,100,-18903.000000
1729244943.844521,318756.000,45790,2,EL,1,100,-18903.000000
1729244943.911520,318823.000,45806,1,EL,1,100,-18903.199219
1729244943.978020,318889.500,45821,2,EL,1,100,-18903.000000
1729244944.044520,318956.000,45821,2,EL,1,100,-18903.000000
1729244944.111520,319023.000,45837,1,EL,1,100,-18902.400391
1729244944.178019,319089.500,45857,2,EL,1,100,-18902.400391
1729244944.244519,319156.000,45857,2,EL,1,100,-18902.599609
1729244944.311518,319223.000,45873,1,EL,1,100,-18902.199219
1729244944.378018,319289.500,45888,2,EL,1,100,-18902.000000
1729244944.444518,319356.000,45888,2,EL,1,100,-18902.000000
1729244944.511518,319423.000,45905,1,EL,1,100,-18902.000000
1729244944.578017,319489.500,45922,2,EL,1,100,-18902.000000
1729244944.644517,319556.000,45922,2,EL,1,100,-18902.000000
1729244944.711517,319623.000,45938,1,EL,1,100,-18902.000000
1729244944.778183,319689.667,45960,3,EL,1,100,-18902.199219
1729244944.844849,319756.333,45960,3,EL,1,100,-18902.000000
1729244944.911515,319823.000,45960,3,EL,1,100,-18902.000000
1729244944.978515,319890.000,45976,1,EL,1,100,-18901.800781
1729244945.045015,319956.500,45993,2,EL,1,100,-18901.800781
1729244945.111515,320023.000,45993,2,EL,1,100,-18902.000000
1729244945.178514,320090.000,46010,1,EL,1,100,-18901.800781
1729244945.245014,320156.500,46027,2,EL,1,100,-18901.599609
1729244945.311514,320223.000,46027,2,EL,1,100,-18902.000000
1729244945.378513,320290.000,46043,1,EL,1,100,-18902.000000
1729244945.445013,320356.500,46060,2,EL,1,100,-18902.000000
1729244945.511513,320423.000,46060,2,EL,1,100,-18902.000000
1729244945.578512,320490.000,46075,1,EL,1,100,-18902.000000
1729244945.645012,320556.500,46092,2,EL,1,100,-18902.400391
1729244945.711512,320623.000,46092,2,EL,1,100,-18903.000000
1729244945.778011,320689.500,46111,2,EL,1,100,-18902.599609
1729244945.844511,320756.000,46111,2,EL,1,100,-18903.000000
1729244945.911511,320823.000,46128,1,EL,1,100,-18902.800781
1729244945.978010,320889.500,46142,2,EL,1,100,-18903.000000
1729244946.044510,320956.000,46142,2,EL,1,100,-18903.000000
