LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1729244900.277731,275189.000,38737,2,MY,1,100,-1
1729244900.317731,275229.000,38737,2,MY,1,100,-3
1729244900.357731,275269.000,38754,3,MY,1,100,-3
1729244900.397731,275309.000,38754,3,MY,1,100,-2
1729244900.437731,275349.000,38754,3,MY,1,100,-2
1729244900.477731,275389.000,38771,3,MY,1,100,-3
1729244900.517730,275429.000,38771,3,MY,1,100,-2
1729244900.557730,275469.000,38771,3,MY,1,100,-2
1729244900.597730,275509.000,38788,2,MY,1,100,-2
1729244900.637730,275549.000,38788,2,MY,1,100,-2
1729244900.677729,275589.000,38802,3,MY,1,100,-2
