LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1729244892.697879,267609.111,37486,9,PR,1,100,150818
1729244892.708323,267619.556,37486,9,PR,1,100,150815
1729244892.718768,267630.000,37486,9,PR,1,100,150805
1729244892.728495,267639.727,37503,11,PR,1,100,150801
1729244892.738222,267649.455,37503,11,PR,1,100,150795
1729244892.747950,267659.182,37503,11,PR,1,100,150810
1729244892.757677,267668.909,37503,11,PR,1,100,150791
1729244892.767404,267678.636,37503,11,PR,1,100,150798
1729244892.777131,267688.364,37503,11,PR,1,100,150811
1729244892.786859,267698.091,37503,11,PR,1,100,150820
1729244892.796586,267707.818,37503,11,PR,1,100,150786
1729244892.806313,267717.545,37503,11,PR,1,100,150822
1729244892.816040,267727.273,37503,11,PR,1,100,150848
1729244892.825767,267737.000,37503,11,PR,1,100,150827
1729244892.836367,267747.600,37520,10,PR,1,100,150813
1729244892.846967,267758.200,37520,10,PR,1,100,150864
1729244892.857567,267768.800,37520,10,PR,1,100,150822
1729244892.868167,267779.400,37520,10,PR,1,100,150829
1729244892.878767,267790.000,37520,10,PR,1,100,150841
1729244892.889367,267800.600,37520,10,PR,1,100,150824
1729244892.899967,267811.200,37520,10,PR,1,100,150859
1729244892.910567,267821.800,37520,10,PR,1,100,150851
1729244892.921167,267832.400,37520,10,PR,1,100,150832
1729244892.931767,267843.000,37520,10,PR,1,100,150836
1729244892.941067,267852.300,37539,10,PR,1,100,150841
1729244892.950367,267861.600,37539,10,PR,1,100,150820
1729244892.959667,267870.900,37539,10,PR,1,100,150838
1729244892.968967,267880.200,37539,10,PR,1,100,150833
1729244892.978267,267889.500,37539,10,PR,1,100,150827
1729244892.987567,267898.800,37539,10,PR,1,100,150813
1729244892.996866,267908.100,37539,10,PR,1,100,150836
1729244893.006166,267917.400,37539,10,PR,1,100,150823
1729244893.015466,267926.700,37539,10,PR,1,100,150817
1729244893.024766,267936.000,37539,10,PR,1,100,150828
1729244893.035466,267946.700,37553,10,PR,1,100,150835
1729244893.046166,267957.400,37553,10,PR,1,100,150826
1729244893.056866,267968.100,37553,10,PR,1,100,150860
1729244893.067566,267978.800,37553,10,PR,1,100,150797
1729244893.078266,267989.500,37553,10,PR,1,100,150847
1729244893.088966,268000.200,37553,10,PR,1,100,150816
1729244893.099666,268010.900,37553,10,PR,1,100,150872
1729244893.110366,268021.600,37553,10,PR,1,100,150838
1729244893.121066,268032.300,37553,10,PR,1,100,150856
1729244893.131766,268043.000,37553,10,PR,1,100,150853
1729244893.141402,268052.636,37571,11,PR,1,100,150843
1729244893.151039,268062.273,37571,11,PR,1,100,150850
1729244893.160675,268071.909,37571,11,PR,1,100,150859
1729244893.170311,268081.545,37571,11,PR,1,100,150847
1729244893.179948,268091.182,37571,11,PR,1,100,150862
1729244893.189584,268100.818,37571,11,PR,1,100,150825
1729244893.199220,268110.455,37571,11,PR,1,100,150850
1729244893.208856,268120.091,37571,11,PR,1,100,150859
1729244893.218493,268129.727,37571,11,PR,1,100,150885
1729244893.228129,268139.364,37571,11,PR,1,100,150873
1729244893.237765,268149.000,37571,11,PR,1,100,150865
1729244893.248210,268159.444,37589,9,PR,1,100,150873
1729244893.258654,268169.889,37589,9,PR,1,100,150859
1729244893.269099,268180.333,37589,9,PR,1,100,150897
1729244893.279543,268190.778,37589,9,PR,1,100,150871
1729244893.289987,268201.222,37589,9,PR,1,100,150887
1729244893.300432,268211.667,37589,9,PR,1,100,150899
1729244893.310876,268222.111,37589,9,PR,1,100,150889
1729244893.321321,268232.556,37589,9,PR,1,100,150893
1729244893.331765,268243.000,37589,9,PR,1,100,150896
1729244893.341401,268252.636,37606,11,PR,1,100,150879
1729244893.351038,268262.273,37606,11,PR,1,100,150906
1729244893.360674,268271.909,37606,11,PR,1,100,150884
1729244893.370310,268281.545,37606,11,PR,1,100,150903
1729244893.379946,268291.182,37606,11,PR,1,100,150895
1729244893.389583,268300.818,37606,11,PR,1,100,150902
1729244893.399219,268310.455,37606,11,PR,1,100,150905
1729244893.408855,268320.091,37606,11,PR,1,100,150920
1729244893.418492,268329.727,37606,11,PR,1,100,150876
1729244893.428128,268339.364,37606,11,PR,1,100,150890
1729244893.437764,268349.000,37606,11,PR,1,100,150915
1729244893.447764,268359.000,37626,16,PR,1,100,150940
1729244893.457764,268369.000,37626,16,PR,1,100,150935
1729244893.467764,268379.000,37626,16,PR,1,100,150899
1729244893.477764,268389.000,37626,16,PR,1,100,150932
1729244893.487764,268399.000,37626,16,PR,1,100,150944
1729244893.497764,268409.000,37626,16,PR,1,100,150957
1729244893.507764,268419.000,37626,16,PR,1,100,150969
1729244893.517764,268429.000,37626,16,PR,1,100,150952
1729244893.527764,268439.000,37626,16,PR,1,100,150923
1729244893.537764,268449.000,37626,16,PR,1,100,150910
1729244893.547764,268459.000,37626,16,PR,1,100,150920
1729244893.557764,268469.000,37626,16,PR,1,100,150921
1729244893.567764,268479.000,37626,16,PR,1,100,150934
1729244893.577764,268489.000,37626,16,PR,1,100,150912
1729244893.587764,268499.000,37626,16,PR,1,100,150916
1729244893.597764,268509.000,37626,16,PR,1,100,150876
1729244893.608208,268519.444,37643,9,PR,1,100,150874
1729244893.618652,268529.889,37643,9,PR,1,100,150883
1729244893.629097,268540.333,37643,9,PR,1,100,150927
1729244893.639541,268550.778,37643,9,PR,1,100,150897
1729244893.649986,268561.222,37643,9,PR,1,100,150887
1729244893.660430,268571.667,37643,9,PR,1,100,150924
1729244893.670874,268582.111,37643,9,PR,1,100,150908
1729244893.681319,268592.556,37643,9,PR,1,100,150906
1729244893.691763,268603.000,37643,9,PR,1,100,150894
1729244893.701400,268612.636,37657,11,PR,1,100,150901
1729244893.711036,268622.273,37657,11,PR,1,100,150950
1729244893.720672,268631.909,37657,11,PR,1,100,150925
1729244893.730309,268641.545,37657,11,PR,1,100,150924
1729244893.739945,268651.182,37657,11,PR,1,100,150964
1729244893.749581,268660.818,37657,11,PR,1,100,150922
1729244893.759218,268670.455,37657,11,PR,1,100,150933
1729244893.768854,268680.091,37657,11,PR,1,100,150955
1729244893.778490,268689.727,37657,11,PR,1,100,150936
