LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1716209286.442902,299208.800,47352,10,PG,1,100,12186
1716209286.452202,299218.100,47352,10,PG,1,100,12197
1716209286.461503,299227.400,47352,10,PG,1,100,12226
1716209286.470803,299236.700,47352,10,PG,1,100,12211
1716209286.480103,299246.000,47352,10,PG,1,100,12226
1716209286.490803,299256.700,47374,10,PG,1,100,12199
1716209286.501503,299267.400,47374,10,PG,1,100,12227
1716209286.512203,299278.100,47374,10,PG,1,100,12218
1716209286.522903,299288.800,47374,10,PG,1,100,12217
1716209286.533603,299299.500,47374,10,PG,1,100,12219
1716209286.544303,299310.200,47374,10,PG,1,100,12219
1716209286.555004,299320.900,47374,10,PG,1,100,12212
1716209286.565704,299331.600,47374,10,PG,1,100,12236
1716209286.576404,299342.300,47374,10,PG,1,100,12221
1716209286.587104,299353.000,47374,10,PG,1,100,12229
1716209286.596740,299362.636,47390,11,PG,1,100,12235
1716209286.606377,299372.273,47390,11,PG,1,100,12241
1716209286.616014,299381.909,47390,11,PG,1,100,12238
1716209286.625650,299391.545,47390,11,PG,1,100,12246
1716209286.635286,299401.182,47390,11,PG,1,100,12250
1716209286.644923,299410.818,47390,11,PG,1,100,12246
1716209286.654559,299420.455,47390,11,PG,1,100,12245
1716209286.664196,299430.091,47390,11,PG,1,100,12256
1716209286.673832,299439.727,47390,11,PG,1,100,12260
1716209286.683469,299449.364,47390,11,PG,1,100,12247
1716209286.693105,299459.000,47390,11,PG,1,100,12259
1716209286.703439,299469.333,47405,9,PG,1,100,12269
1716209286.713772,299479.667,47405,9,PG,1,100,12211
1716209286.724106,299490.000,47405,9,PG,1,100,12251
1716209286.734439,299500.333,47405,9,PG,1,100,12290
1716209286.744772,299510.667,47405,9,PG,1,100,12270
1716209286.755106,299521.000,47405,9,PG,1,100,12283
1716209286.765440,299531.333,47405,9,PG,1,100,12270
1716209286.775773,299541.667,47405,9,PG,1,100,12278
1716209286.786106,299552.000,47405,9,PG,1,100,12263
1716209286.795834,299561.727,47422,11,PG,1,100,12237
1716209286.805561,299571.455,47422,11,PG,1,100,12245
1716209286.815289,299581.182,47422,11,PG,1,100,12206
1716209286.825016,299590.909,47422,11,PG,1,100,12237
1716209286.834743,299600.636,47422,11,PG,1,100,12234
